LinkID,siteid,sk_dim_countdeviceid,sk_dim_journeylinkid,site
N05231C,215,256,206,Parson St.
N05231C,215,258,207,Parson St.
N05231C,215,255,209,Parson St.
N34111S,203,590,230,Brislington
N34111S,203,595,230,Brislington
N14161O,270,444,38,Wells Rd.
N14161O,270,445,38,Wells Rd.
N02151C,500,105,18,Temple Way
N02151C,500,107,18,Temple Way
N02151C,500,163,18,Temple Way
N02151C,500,165,18,Temple Way
N02151C,500,108,18,Temple Way
N02151C,500,216,18,Temple Way
N12241C,463,359,188,Fishponds
N12241C,463,358,188,Fishponds
N01221U,501,36,74,Colston Ave.
N01221U,501,37,74,Colston Ave.
N01221U,501,39,74,Colston Ave.
